Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/LR,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward_critic,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost_critic,Time/Total,Time/Rollout,Time/Update,Time/Evaluate,Time/Epoch,Time/FPS,Metrics/S2C_LossLast,Metrics/S2C_Updates,Metrics/LagrangeMultiplier
-0.5507454872131348,131.0,1000.0,-3.6124019622802734,0.0,1000.0,0.0,0.0003000000142492354,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.296499252319336,7.574151992797852,0.0010094642639160156,5.721180438995361,13.296497344970703,150.41555786132812,0.0,0.0,0.0010000000474974513
0.23866161704063416,65.5,1000.0,-2.8762452602386475,5.5,1000.0,1.0,0.0003000000142492354,3951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.490612030029297,7.515316009521484,0.0010313987731933594,4.660804748535156,12.177310943603516,164.23988342285156,0.0,0.0,0.0010000000474974513
0.16623006761074066,46.5,1000.0,-3.031465530395508,3.6666667461395264,1000.0,2.0,0.0003000000142492354,5951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.874935150146484,7.558332443237305,0.0010013580322265625,4.814124584197998,12.373618125915527,161.63421630859375,0.0,0.0,0.0010000000474974513
-0.16539283096790314,35.875,1000.0,-1.786694049835205,2.75,1000.0,3.0,0.0003000000142492354,7951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.432491302490234,7.757845878601074,0.001001596450805664,4.787784576416016,12.546794891357422,159.4032745361328,0.0,0.0,0.0010000000474974513
-0.2324398010969162,28.700000762939453,1000.0,-1.726353406906128,4.800000190734863,1000.0,4.0,0.0003000000142492354,9951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.98179244995117,7.73496150970459,0.0010132789611816406,4.802374839782715,12.538515090942383,159.50852966308594,0.0,0.0,0.0010000000474974513
-0.2895105183124542,24.0,1000.0,-0.9953243136405945,8.5,1000.0,5.0,0.0003000000142492354,11951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.74198150634766,7.893158912658691,0.0010104179382324219,4.854936122894287,12.749267578125,156.87176513671875,0.0,0.0,0.0010000000474974513
-0.25600603222846985,20.571428298950195,1000.0,-1.066349983215332,9.428571701049805,1000.0,6.0,0.0003000000142492354,13951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.30061340332031,7.900254249572754,0.0010104179382324219,4.640131950378418,12.541570663452148,159.46966552734375,0.0,0.0,0.0010000000474974513
-0.1942349374294281,18.0,1000.0,-0.3383966088294983,8.25,1000.0,7.0,0.0003000000142492354,15951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.376953125,7.472589015960693,0.0009870529174804688,4.592939853668213,12.066668510437012,165.74583435058594,0.0,0.0,0.0010000000474974513
-0.1442262828350067,37.33333206176758,1000.0,-1.1263525485992432,7.333333492279053,1000.0,8.0,0.0003000000142492354,17951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.43748474121094,7.463285446166992,0.0009531974792480469,4.586533546447754,12.050926208496094,165.9623565673828,0.0,0.0,0.0010000000474974513
-0.13734550774097443,36.95000076293945,1000.0,-1.6110121011734009,6.599999904632568,1000.0,9.0,0.0003000000142492354,19951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.45252990722656,7.433536052703857,0.0009369850158691406,4.570526123046875,12.005155563354492,166.59510803222656,1.5690183639526367,0.5,0.0010000000474974513
