Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/LR,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward_critic,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost_critic,Time/Total,Time/Rollout,Time/Update,Time/Evaluate,Time/Epoch,Time/FPS,Metrics/S2C_LossLast,Metrics/S2C_Updates,Value/alpha,Metrics/LagrangeMultiplier
-0.19115453958511353,0.0,1000.0,-0.33428874611854553,0.0,1000.0,0.0,0.0003000000142492354,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.40635871887207,13.79359245300293,0.0017151832580566406,9.610871315002441,23.406356811523438,85.4468765258789,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.2905842065811157,0.0,1000.0,-1.715951919555664,3.5,1000.0,1.0,0.0003000000142492354,3951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4898796081543,13.921913146972656,0.001657247543334961,8.146267890930176,22.070009231567383,90.62071990966797,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.5104956030845642,10.166666984558105,1000.0,-1.309594750404358,2.3333332538604736,1000.0,2.0,0.0003000000142492354,5951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.05545806884766,13.536783218383789,0.0016303062438964844,9.013843536376953,22.55243682861328,88.68221282958984,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.7246509790420532,10.375,1000.0,-4.636906147003174,1.75,1000.0,3.0,0.0003000000142492354,7951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.96443939208984,13.592214584350586,0.0016973018646240234,8.30227279663086,21.896364212036133,91.33936309814453,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.6498771905899048,8.300000190734863,1000.0,-4.282723426818848,1.399999976158142,1000.0,4.0,0.0003000000142492354,9951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.27021026611328,13.053520202636719,0.0015790462493896484,8.239246368408203,21.294509887695312,93.9209213256836,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.5540261268615723,6.916666507720947,1000.0,-3.6686809062957764,1.1666666269302368,1000.0,5.0,0.0003000000142492354,11951.0,-1.081296443939209,-1.081296443939209,0.0032498505897819996,0.0032498505897819996,0.8125712871551514,0.06429113447666168,0.06429113447666168,-0.09719394147396088,168.16661071777344,13.8159818649292,32.834774017333984,10.232550621032715,56.883544921875,35.15955352783203,0.0,0.0,0.20000001788139343,0.0010000000474974513
-0.5011810660362244,7.285714149475098,1000.0,-3.3178131580352783,15.428571701049805,1000.0,6.0,0.0003000000142492354,13951.0,-2.32102108001709,-1.2397246360778809,0.002568627940490842,-0.0006812226492911577,2.051419734954834,0.065366730093956,0.0010755956172943115,-0.2942348122596741,224.04270935058594,14.018328666687012,34.46466827392578,7.377929210662842,55.861175537109375,35.80303955078125,0.0,0.0,0.20000001788139343,0.0010000000474974513
-0.5236448049545288,6.375,1000.0,-2.7631332874298096,114.25,1000.0,7.0,0.0003000000142492354,15951.0,-3.507997512817383,-1.186976432800293,0.0024946650955826044,-7.396284490823746e-05,3.239476203918457,0.07658323645591736,0.011216506361961365,-0.3348560035228729,281.67010498046875,14.576597213745117,34.67932891845703,8.356623649597168,57.612796783447266,34.71451187133789,0.0,0.0,0.20000001788139343,0.0010000000474974513
-0.43675750494003296,5.666666507720947,1000.0,-2.3787648677825928,101.55555725097656,1000.0,8.0,0.0003000000142492354,17951.0,-4.6406683921813965,-1.1326708793640137,0.0025130249559879303,1.835986040532589e-05,4.373532295227051,0.09527422487735748,0.018690988421440125,-0.07934380322694778,338.0419616699219,14.079069137573242,34.38705062866211,7.891347885131836,56.35770797729492,35.487606048583984,0.0,0.0,0.20000001788139343,0.0010000000474974513
-0.443559467792511,5.599999904632568,1000.0,-2.2613162994384766,103.0999984741211,1000.0,9.0,0.0003000000142492354,19951.0,-5.722893714904785,-1.0822253227233887,0.002502263756468892,-1.07611995190382e-05,5.456966876983643,0.0988498255610466,0.0035756006836891174,-0.1729809194803238,394.89678955078125,14.309447288513184,34.28121566772461,8.249643325805664,56.84054946899414,35.18614959716797,0.0,0.0,0.20000001788139343,0.0010000000474974513
