Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/LR,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward_critic,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost_critic,Time/Total,Time/Rollout,Time/Update,Time/Evaluate,Time/Epoch,Time/FPS,Metrics/S2C_LossLast,Metrics/S2C_Updates,Metrics/LagrangeMultiplier
-0.3165645897388458,0.0,1000.0,-0.8764377236366272,41.0,1000.0,0.0,0.0003000000142492354,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.712739944458008,13.723817825317383,0.0011034011840820312,8.98764419555664,22.712736129760742,88.05632019042969,0.0,0.0,0.0010000000474974513
0.2424878627061844,8.25,1000.0,-3.8718223571777344,20.5,1000.0,1.0,0.0003000000142492354,3951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.30553436279297,13.984583854675293,0.0011515617370605469,8.594595909118652,22.58050537109375,88.57197570800781,0.0,0.0,0.0010000000474974513
0.21538884937763214,36.5,1000.0,-3.562424421310425,30.33333396911621,1000.0,2.0,0.0003000000142492354,5951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.08485412597656,14.080300331115723,0.0011267662048339844,8.686065673828125,22.767662048339844,87.84388732910156,0.0,0.0,0.0010000000474974513
0.07842918485403061,37.5,1000.0,-3.266965866088867,28.75,1000.0,3.0,0.0003000000142492354,7951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.41155242919922,14.720964431762695,0.001119375228881836,8.586828231811523,23.30908966064453,85.8034439086914,0.0,0.0,0.0010000000474974513
0.1407233029603958,34.20000076293945,1000.0,-3.1743571758270264,23.0,1000.0,4.0,0.0003000000142492354,9951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.63018035888672,14.331338882446289,0.0011475086212158203,8.874749183654785,23.207416534423828,86.17935180664062,0.0,0.0,0.0010000000474974513
0.1105470061302185,34.83333206176758,1000.0,-3.1916840076446533,23.66666603088379,1000.0,5.0,0.0003000000142492354,11951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.61911010742188,13.440616607666016,0.0011219978332519531,8.534964561462402,21.976896286010742,91.00466918945312,0.0,0.0,0.0010000000474974513
0.1635182797908783,32.21428680419922,1000.0,-3.4665465354919434,20.285715103149414,1000.0,6.0,0.0003000000142492354,13951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.77215576171875,14.666894912719727,0.0011432170867919922,9.472000122070312,24.140216827392578,82.84929656982422,0.0,0.0,0.0010000000474974513
0.150311678647995,34.375,1000.0,-3.811722993850708,17.75,1000.0,7.0,0.0003000000142492354,15951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.88235473632812,13.36666202545166,0.0011870861053466797,7.728989601135254,21.097021102905273,94.80011749267578,0.0,0.0,0.0010000000474974513
0.06305055320262909,53.22222137451172,1000.0,-3.580573558807373,26.11111068725586,1000.0,8.0,0.0003000000142492354,17951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.76480102539062,14.21430492401123,0.0011248588562011719,8.647869110107422,22.863502502441406,87.47566986083984,0.0,0.0,0.0010000000474974513
-0.054888736456632614,54.5,1000.0,-3.7882938385009766,23.5,1000.0,9.0,0.0003000000142492354,19951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.6673126220703,13.568421363830566,0.001112222671508789,8.319971084594727,21.88968276977539,91.36724090576172,0.0,0.0,0.0010000000474974513
