Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/LR,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward_critic,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost_critic,Time/Total,Time/Rollout,Time/Update,Time/Evaluate,Time/Epoch,Time/FPS,Metrics/S2C_LossLast,Metrics/S2C_Updates,Value/alpha,Metrics/LagrangeMultiplier
-0.19115453958511353,0.0,1000.0,-0.38800758123397827,0.0,1000.0,0.0,0.0003000000142492354,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.539997100830078,14.366376876831055,0.0017840862274169922,10.171659469604492,24.539993286132812,81.49961853027344,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.2905842065811157,0.0,1000.0,-2.3329899311065674,3.5,1000.0,1.0,0.0003000000142492354,3951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.83219909667969,14.462282180786133,0.001703500747680664,8.81502628326416,23.27918243408203,85.9136734008789,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.5104956030845642,10.166666984558105,1000.0,-1.7194180488586426,2.3333332538604736,1000.0,2.0,0.0003000000142492354,5951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.43184661865234,15.092940330505371,0.001796722412109375,9.490703582763672,24.585622787475586,81.34835815429688,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.7246509790420532,10.375,1000.0,-6.000375747680664,1.75,1000.0,3.0,0.0003000000142492354,7951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7825927734375,14.420947074890137,0.0017809867858886719,7.914834022521973,22.337738037109375,89.53458404541016,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.6498771905899048,8.300000190734863,1000.0,-5.403501033782959,1.399999976158142,1000.0,4.0,0.0003000000142492354,9951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.98229217529297,14.007826805114746,0.001678466796875,8.178764343261719,22.18843650817871,90.13703918457031,0.0,0.0,0.19999998807907104,0.0010000000474974513
-0.5451191067695618,6.916666507720947,1000.0,-4.496114253997803,1.1666666269302368,1000.0,5.0,0.0003000000142492354,11951.0,-1.0830399990081787,-1.0830399990081787,0.00324351922608912,0.00324351922608912,0.8142765164375305,0.06445203721523285,0.06445203721523285,-0.0840606614947319,172.919677734375,13.834360122680664,31.190176010131836,10.899849891662598,55.92461013793945,35.76243209838867,0.0,0.0,0.20000001788139343,0.0010000000474974513
-0.4982385039329529,6.5714287757873535,1000.0,-3.880964756011963,1.0,1000.0,6.0,0.0003000000142492354,13951.0,-2.32157826423645,-1.2385382652282715,0.0025698032695800066,-0.0006737159565091133,2.0518991947174072,0.054837364703416824,-0.009614672511816025,-0.29510828852653503,228.32968139648438,14.200199127197266,32.704654693603516,8.490988731384277,55.396060943603516,36.1036491394043,0.0,0.0,0.20000001788139343,0.0010000000474974513
-0.5172857046127319,5.75,1000.0,-3.212506055831909,30.375,1000.0,7.0,0.0003000000142492354,15951.0,-3.508779287338257,-1.1872010231018066,0.00248930836096406,-8.049490861594677e-05,3.240030527114868,0.07471830397844315,0.01988093927502632,-0.38854843378067017,287.94500732421875,15.280957221984863,34.97594451904297,9.343353271484375,59.600486755371094,33.5567741394043,0.0,0.0,0.20000001788139343,0.0010000000474974513
-0.43161481618881226,5.111111164093018,1000.0,-4.212400913238525,27.0,1000.0,8.0,0.0003000000142492354,17951.0,-4.641923904418945,-1.1331446170806885,0.0025042779743671417,1.4969613403081894e-05,4.374613285064697,0.09006648510694504,0.015348181128501892,-0.21649260818958282,346.3130798339844,15.018723487854004,34.94432830810547,8.390295028686523,58.35356140136719,34.27383041381836,0.0,0.0,0.20000001788139343,0.0010000000474974513
-0.438581645488739,5.099999904632568,1000.0,-3.926129102706909,40.900001525878906,1000.0,9.0,0.0003000000142492354,19951.0,-5.7243828773498535,-1.0824589729309082,0.0024932727683335543,-1.1005206033587456e-05,5.458359718322754,0.0901380255818367,7.15404748916626e-05,-0.33508986234664917,405.9003601074219,15.103663444519043,35.75954818725586,8.70899772644043,59.572452545166016,33.572566986083984,1.447168231010437,0.5,0.20000001788139343,0.0010000000474974513
