Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/S2C_LossLast,Metrics/S2C_Updates,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
0.18676593899726868,38.099998474121094,1000.0,0.0,1.3995718955993652,0.012000403366982937,40.0,0.9998137354850769,0.9998137354850769,0.9998137354850769,0.018161823973059654,0.00029399999766610563,0.980862557888031,20000.0,-0.012806831859052181,-0.012806831859052181,-0.10602562129497528,0.004891449585556984,0.004891449585556984,-0.004085811786353588,1.1954197883605957,1.1954197883605957,0.13108183443546295,164.96780395507812,84.24589538574219,80.72152709960938,164.96746826171875,121.23602294921875,0.0,0.0,0.03599999472498894,0.03599999472498894,0.03599999472498894,0.0
0.10831256210803986,43.025001525878906,1000.0,1.0,1.3831785917282104,0.012981495819985867,40.0,0.998045027256012,0.998045027256012,0.998045027256012,0.017021313309669495,0.0002880000101868063,0.9650030136108398,40000.0,-0.012889234349131584,-8.240249007940292e-05,-0.02625223994255066,0.003704504342749715,-0.001186945242807269,0.019276488572359085,0.9865931868553162,-0.20882660150527954,1.0024386644363403,327.385009765625,83.52295684814453,78.86038970947266,162.38339233398438,123.1653060913086,0.0,0.0,0.07103347778320312,0.07103347778320312,0.07103347778320312,0.0
0.09008844196796417,50.5,1000.0,2.0,1.3682283163070679,0.015833687037229538,40.0,0.9996989369392395,0.9996989369392395,0.9996989369392395,0.018006859347224236,0.00028199999360367656,0.9507375955581665,60000.0,-0.01573687233030796,-0.0028476379811763763,0.08640103042125702,0.004391996655613184,0.0006874923128634691,0.018154721707105637,0.795900285243988,-0.19069290161132812,2.160475492477417,489.58917236328125,84.2294692993164,77.94158935546875,162.1710968017578,123.3265380859375,0.0,0.0,0.10608524829149246,0.10608524829149246,0.10608524829149246,0.0
0.36165890097618103,52.060001373291016,1000.0,3.0,1.3484034538269043,0.02000598795711994,36.0,0.9986120462417603,0.9986120462417603,0.9986120462417603,0.020071258768439293,0.00027600000612437725,0.932060718536377,80000.0,-0.02113497257232666,-0.0053981002420187,0.16992424428462982,0.005022954195737839,0.0006309575401246548,0.028820641338825226,1.2134814262390137,0.41758114099502563,4.328647613525391,643.1439208984375,83.3604965209961,70.15972900390625,153.52027893066406,130.2759552001953,0.0,0.0,0.14127174019813538,0.14127174019813538,0.14127174019813538,0.0
1.064561128616333,76.31999969482422,1000.0,4.0,1.3311762809753418,0.02038947120308876,23.0,0.9980878829956055,0.9980878829956055,0.9980878829956055,0.020021570846438408,0.0002699999895412475,0.9160782694816589,100000.0,-0.020641043782234192,0.0004939287900924683,0.24676313996315002,0.006990080699324608,0.001967126503586769,0.04899333789944649,2.008333206176758,0.7948517799377441,5.681448459625244,770.3179321289062,81.97099304199219,45.17033767700195,127.14137268066406,157.30520629882812,0.0,0.0,0.17610856890678406,0.17610856890678406,0.17610856890678406,0.0
2.264716863632202,97.16000366210938,1000.0,5.0,1.3200703859329224,0.02036217413842678,27.0,1.0010390281677246,1.0010390281677246,1.0010390281677246,0.020617859438061714,0.0002640000020619482,0.905924916267395,120000.0,-0.024408215656876564,-0.003767171874642372,0.0151883065700531,0.009593699127435684,0.0026036184281110764,0.11158794164657593,2.068075656890869,0.05974245071411133,6.15083646774292,905.6343383789062,81.58333587646484,53.70396423339844,135.28733825683594,147.83349609375,0.0,0.0,0.2106984555721283,0.2106984555721283,0.2106984555721283,0.0
3.6280300617218018,84.4000015258789,1000.0,6.0,1.3096750974655151,0.020374765619635582,27.0,1.0013527870178223,1.0013527870178223,1.0013527870178223,0.020885927602648735,0.0002579999854788184,0.8965076208114624,140000.0,-0.026372220367193222,-0.001964004710316658,-0.061761580407619476,0.013277138583362103,0.0036834394559264183,0.19765543937683105,1.4141918420791626,-0.6538838148117065,8.517912864685059,1041.7257080078125,81.95450592041016,54.10512924194336,136.0596923828125,146.9943084716797,0.0,0.0,0.2457173615694046,0.2457173615694046,0.2457173615694046,0.0
4.594877243041992,79.0199966430664,1000.0,7.0,1.2908179759979248,0.02001439407467842,19.0,1.000471830368042,1.000471830368042,1.000471830368042,0.019842030480504036,0.0002519999979995191,0.8797592520713806,160000.0,-0.023240935057401657,0.003131285309791565,0.09442506730556488,0.013483960181474686,0.00020682159811258316,0.27221089601516724,2.459057092666626,1.0448652505874634,7.4070048332214355,1163.2164306640625,82.97211456298828,38.48889923095703,121.4610595703125,164.6618194580078,0.0,0.0,0.28100889921188354,0.28100889921188354,0.28100889921188354,0.0
5.946860313415527,85.58000183105469,1000.0,8.0,1.2784584760665894,0.02041633240878582,21.0,0.9985247850418091,0.9985247850418091,0.9985247850418091,0.02011866495013237,0.0002460000105202198,0.8689517974853516,180000.0,-0.030423449352383614,-0.0071825142949819565,0.03213231638073921,0.014771663583815098,0.0012877034023404121,0.3738705813884735,2.267486572265625,-0.19157052040100098,7.637723445892334,1289.4154052734375,84.08165740966797,42.08861541748047,126.17031860351562,158.51588439941406,0.0,0.0,0.316611647605896,0.316611647605896,0.316611647605896,0.0
7.0450944900512695,79.12000274658203,1000.0,9.0,1.2583929300308228,0.020024677738547325,17.0,0.9993715882301331,0.9993715882301331,0.9993715882301331,0.020304376259446144,0.00023999999393709004,0.851690411567688,200000.0,-0.028320008888840675,0.0021034404635429382,-0.06996287405490875,0.01525947730988264,0.00048781372606754303,0.4283331632614136,2.1123180389404297,-0.1551685333251953,6.846611022949219,1405.3909912109375,83.67527770996094,32.27125549316406,115.94657897949219,172.49322509765625,0.0,0.0,0.35233473777770996,0.35233473777770996,0.35233473777770996,0.0
8.061424255371094,64.94000244140625,1000.0,10.0,1.2384494543075562,0.020396055653691292,16.0,0.9999391436576843,0.9999391436576843,0.9999391436576843,0.019677771255373955,0.00023400000645779073,0.8348705768585205,220000.0,-0.025385143235325813,0.002934865653514862,0.10436467826366425,0.016487697139382362,0.0012282198294997215,0.5416373014450073,1.7847410440444946,-0.32757699489593506,6.929619312286377,1519.748779296875,83.20933532714844,31.12116241455078,114.3305435180664,174.93138122558594,0.0,0.0,0.3877286911010742,0.3877286911010742,0.3877286911010742,0.0
8.884930610656738,69.4800033569336,1000.0,11.0,1.2239091396331787,0.020834950730204582,20.0,0.9997640252113342,0.9997640252113342,0.9997640252113342,0.020151294767856598,0.0002280000044265762,0.8228366374969482,240000.0,-0.032574612647295,-0.007189469411969185,-0.10714668035507202,0.014862211421132088,-0.0016254857182502747,0.6090823411941528,1.8919585943222046,0.10721755027770996,6.596161842346191,1642.3719482421875,83.63587951660156,38.96257781982422,122.5985107421875,163.13412475585938,0.0,0.0,0.42301416397094727,0.42301416397094727,0.42301416397094727,0.0
